		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	LABELS	sd_rel_at	sd_rel_mktval	frac_atypicalPeers	frac_issPeers	sd_rel_at	sd_rel_mktval	frac_atypicalPeers	frac_issPeers	sd_rel_at	sd_rel_mktval	frac_atypicalPeers	frac_issPeers	sd_rel_at	sd_rel_mktval	frac_atypicalPeers	frac_issPeers
																	
frac_InstOwnership	frac_InstOwnership	-0.009	-0.071	0.004	0.010												
		(-0.192)	(-1.522)	(0.354)	(1.012)												
lag_log_at	lag_log_at	0.001	-0.002	-0.001	-0.001*	0.001	-0.002	-0.001	-0.001*	0.001	-0.002	-0.001	-0.001*	0.001	-0.002	-0.001	-0.001*
		(0.241)	(-0.465)	(-1.195)	(-1.858)	(0.240)	(-0.470)	(-1.197)	(-1.862)	(0.240)	(-0.467)	(-1.195)	(-1.857)	(0.241)	(-0.467)	(-1.194)	(-1.857)
lag_tobins_q	lag_tobins_q	0.003	-0.009**	-0.001	-0.001	0.003	-0.009**	-0.001	-0.001	0.003	-0.009**	-0.001	-0.001	0.003	-0.009**	-0.001	-0.001
		(0.754)	(-2.277)	(-1.013)	(-1.017)	(0.756)	(-2.277)	(-1.007)	(-1.002)	(0.751)	(-2.282)	(-1.014)	(-1.016)	(0.754)	(-2.281)	(-1.011)	(-1.019)
lag_sales_growth	lag_sales_growth	0.019	0.007	-0.001	-0.000	0.019	0.007	-0.001	-0.000	0.019	0.008	-0.001	-0.000	0.019	0.008	-0.001	-0.000
		(0.863)	(0.351)	(-0.148)	(-0.053)	(0.863)	(0.349)	(-0.153)	(-0.064)	(0.864)	(0.354)	(-0.149)	(-0.055)	(0.864)	(0.354)	(-0.149)	(-0.056)
lag_stock_ret_12m	lag_stock_ret_12m	0.027*	-0.024*	-0.004	-0.002	0.027*	-0.024*	-0.004	-0.002	0.027*	-0.023*	-0.004	-0.002	0.027*	-0.024*	-0.004	-0.002
		(1.929)	(-1.674)	(-1.104)	(-0.617)	(1.928)	(-1.678)	(-1.109)	(-0.629)	(1.927)	(-1.670)	(-1.105)	(-0.621)	(1.928)	(-1.673)	(-1.105)	(-0.612)
lag_idio_ret_vol_12m	lag_idio_ret_vol_12m	0.011	-0.000	0.003	-0.002	0.012	0.001	0.003	-0.002	0.012	-0.000	0.003	-0.002	0.012	0.000	0.003	-0.002
		(0.278)	(-0.004)	(0.278)	(-0.241)	(0.282)	(0.013)	(0.282)	(-0.233)	(0.292)	(-0.001)	(0.284)	(-0.235)	(0.279)	(0.005)	(0.275)	(-0.245)
frac_ownership_by_invtypeQIX	frac_ownership_by_invtypeQIX					0.017	0.051	0.010	0.019								
						(0.209)	(0.652)	(0.489)	(1.161)								
frac_owned_passive	frac_owned_passive									-0.150	0.076	-0.025	-0.033				
										(-1.423)	(0.708)	(-0.858)	(-1.470)				
votingWithISS_disagreement_w	votingWithISS_disagreement_w													-0.044	-0.131	-0.023	0.070
														(-0.106)	(-0.313)	(-0.208)	(0.784)
Constant	Constant	1.087***	1.275***	0.435***	0.309***	1.075***	1.202***	0.436***	0.313***	1.099***	1.205***	0.442***	0.322***	1.080***	1.218***	0.439***	0.316***
		(20.864)	(24.180)	(31.477)	(27.901)	(26.622)	(30.559)	(41.248)	(38.022)	(29.117)	(31.935)	(44.279)	(41.227)	(29.730)	(33.775)	(46.464)	(42.093)
																	
Observations		21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082	21,082
R-squared		0.020	0.020	0.021	0.018	0.020	0.020	0.021	0.018	0.021	0.020	0.021	0.018	0.020	0.020	0.021	0.018
